Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
45,43,2024-01-25,27-147,NYK,,DEN,W (+38),1,26:33,7,10,.700,1,2,.500,6,6,1.000,0,1,1,4,0,0,2,0,21,17.9,+24
46,44,2024-01-27,27-149,NYK,,MIA,W (+16),1,38:16,12,22,.545,4,8,.500,4,5,.800,0,5,5,8,1,1,0,2,32,29.0,+24
47,45,2024-01-29,27-151,NYK,@,CHO,W (+21),1,34:14,13,24,.542,2,6,.333,4,5,.800,0,4,4,7,1,0,2,1,32,24.7,+20
48,46,2024-01-30,27-152,NYK,,UTA,W (+15),1,38:01,10,23,.435,2,6,.333,7,8,.875,0,3,3,9,0,1,0,2,29,23.6,+19
49,47,2024-02-01,27-154,NYK,,IND,W (+4),1,36:52,15,30,.500,1,6,.167,9,11,.818,1,4,5,1,0,0,2,3,40,23.6,+4
50,48,2024-02-03,27-156,NYK,,LAL,L (-8),1,44:43,15,31,.484,1,6,.167,5,6,.833,2,4,6,10,0,0,3,1,36,26.1,-5
51,49,2024-02-06,27-159,NYK,,MEM,W (+10),1,31:15,11,21,.524,1,4,.250,4,5,.800,0,3,3,8,3,0,2,1,27,23.4,-3
52,,2024-02-08,27-161,NYK,,DAL,L (-14),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
53,50,2024-02-10,27-163,NYK,,IND,L (-14),1,37:28,14,25,.560,1,5,.200,10,10,1.000,0,3,3,4,1,0,2,2,39,29.0,-7
54,51,2024-02-12,27-165,NYK,@,HOU,L (-2),1,38:48,10,25,.400,2,6,.333,5,8,.625,0,4,4,7,0,0,5,4,27,11.8,-1
55,52,2024-02-14,27-167,NYK,@,ORL,L (-18),1,35:00,11,21,.524,5,8,.625,6,7,.857,1,0,1,6,2,0,3,0,33,26.2,-2
56,53,2024-02-22,27-175,NYK,@,PHI,W (+14),1,39:23,5,18,.278,0,4,.000,11,11,1.000,0,2,2,12,2,1,7,2,21,14.3,+20
57,54,2024-02-24,27-177,NYK,,BOS,L (-14),1,37:34,12,25,.480,4,9,.444,6,6,1.000,1,2,3,9,1,0,4,0,34,25.9,-12
58,55,2024-02-26,27-179,NYK,,DET,W (+2),1,39:36,11,26,.423,3,11,.273,10,11,.909,0,1,1,12,2,0,4,3,35,26.3,+3
